images_qty,total_size_mb,video_filename
29,35.5,10.121.15.252_01_20240531062038152_1.mp4
145,191.43,10.121.15.252_01_20240531062038152_2.mp4
351,474.72,10.121.15.252_01_20240531062038152_3.mp4
402,515.7,10.121.15.252_01_20240531062038152_4.mp4
886,1148.95,10.121.15.252_01_20240531062038152_5.mp4
303,394.15,10.121.15.252_01_20240531062038152_6.mp4
0,0.0,10.121.15.248_01_202405310618038_12.mp4
0,0.0,10.121.15.248_01_202405310618038_13.mp4
0,0.0,10.121.15.249_01_test_2- Ч копи€.mp4
0,0.0,10.121.15.249_01_test_2- Ч копи€.mp4
0,0.0,10.121.15.249_01_test_2- Ч копи€.mp4
0,0.0,10.121.15.249_01_test_2- Ч копи€.mp4
0,0.0,10.121.15.249_01_test_2- Ч копи€.mp4
0,0.0,10.121.15.249_01_test_2- Ч копи€.mp4
54,39.45,10.121.15.249_01_test_2- Ч копи€.mp4
0,0.0,10.121.15.249_01_test_2- Ч копи€.mp4
0,0.0,10.121.15.249_01_test_2- Ч копи€.mp4
0,0.0,10.121.15.249_01_test_2- Ч копи€.mp4
0,0.0,10.121.15.249_01_test_2- Ч копи€.mp4
0,0.0,10.121.15.249_01_test_2- Ч копи€.mp4
0,0.0,10.121.15.249_01_test_2- Ч копи€.mp4
0,0.0,10.121.15.249_01_test_2- Ч копи€.mp4
0,0.0,10.121.15.249_01_test_2- Ч копи€.mp4
0,0.0,10.121.15.249_01_test_2- Ч копи€.mp4
0,0.0,10.121.15.249_01_test_2- Ч копи€.mp4
0,0.0,10.121.15.249_01_test_2-.mp4
0,0.0,10.121.15.252_01_test_4- Ч копи€.mp4
0,0.0,10.121.15.252_01_test_4- Ч копи€.mp4
8,6.43,10.121.15.252_01_test_4- Ч копи€.mp4
1,0.84,10.121.15.252_01_test_4- Ч копи€.mp4
1,0.84,10.121.15.252_01_test_4- Ч копи€.mp4
0,0.0,10.121.15.252_01_test_4- Ч копи€.mp4
0,0.0,10.121.15.252_01_test_4- Ч копи€.mp4
1,0.84,10.121.15.252_01_test_4- Ч копи€.mp4
1,0.84,10.121.15.252_01_test_4- Ч копи€.mp4
6,8.79,10.121.15.252_01_20240531062038152_2 copy.mp4
7,10.25,10.121.15.252_01_20240531062038152_2 copy.mp4
11,15.71,10.121.15.252_01_20240531062038152_2 copy.mp4
32,43.21,10.121.15.252_01_20240531062038152_2 copy.mp4
11,15.71,10.121.15.252_01_20240531062038152_2 copy.mp4
38,62.26,10.121.15.248_01_202405310618038_12.mp4
9,14.92,10.121.15.248_01_202405310618038_13.mp4
